Experiment,Best Model,MAE,RMSE,R2
With Pre_Semester_GPA,Gradient Boosting,0.11401325363449134,0.14439093003996736,0.9136289354281955
Without Pre_Semester_GPA,Gradient Boosting,0.38862465547697017,0.4736850626339746,0.0704605534147058
